,Country,Population,Income_Group,WHO_Region,Democracy_score,Female_labour_force,Inequality_index,Pop_median_age,Pop_below_pov_line,Life_exp_all,Life_exp_male,Life_exp_female,Maternal_mort,Literacy_rate_adult_female,Literacy_rate_adult_male,Literacy_rate_adult_total,Literacy_rate_youth_female,Literacy_rate_youth_male,Literacy_rate_youth_total,females_primary_school,males_primary_school
0,Afghanistan,29117489.0,Low,EMR,-7.0,,,16.0,,42.0,42.0,43.0,1800.0,12.59,43.14,28.0,18.39,50.81,34.26,,
1,Albania,3169087.0,Middle,EUR,9.0,42.12,31.1,29.0,2.0,71.0,69.0,73.0,92.0,98.25,99.19,98.71,99.5,99.37,99.44,93.0,94.0
2,Algeria,35422589.0,Middle,AFR,2.0,30.66,35.3,24.0,,71.0,70.0,72.0,180.0,60.08,79.57,69.87,86.13,94.06,90.14,94.0,96.0
3,Andorra,86685.0,High,EUR,,,,,,82.0,78.0,85.0,,,,,,,,83.0,83.0
4,Angola,18992707.0,Middle,AFR,-2.0,45.79,,17.0,,41.0,40.0,43.0,1400.0,54.21,82.9,67.41,63.18,83.75,72.18,49.0,51.0
5,Antigua and Barbuda,88550.0,Middle,AMR,,,,,,73.0,70.0,75.0,,,,,,,,,
6,Argentina,40665732.0,Middle,AMR,8.0,42.86,51.32,29.0,6.6,75.0,72.0,78.0,77.0,97.19,97.19,97.19,99.13,98.71,98.92,98.0,99.0
7,Armenia,3090379.0,Middle,EUR,5.0,49.17,33.77,32.0,2.0,69.0,65.0,72.0,76.0,99.16,99.67,99.4,99.86,99.75,99.81,84.0,80.0
8,Australia,21511888.0,High,WPR,10.0,45.51,35.19,37.0,,82.0,79.0,84.0,4.0,,,,,,,97.0,96.0
9,Austria,8387491.0,High,EUR,,44.61,29.15,40.0,,80.0,77.0,83.0,4.0,,,,,,,98.0,97.0
10,Azerbaijan,8933928.0,Middle,EUR,-7.0,47.68,36.5,28.0,3.7,64.0,62.0,66.0,82.0,98.17,99.47,98.79,99.9,99.87,99.89,83.0,86.0
11,Bahamas,345736.0,High,AMR,,,,28.0,,74.0,71.0,77.0,16.0,,,,,,,89.0,87.0
12,Bahrain,807131.0,High,EMR,-7.0,18.73,,29.0,,75.0,74.0,76.0,32.0,83.56,88.55,86.55,97.25,96.83,97.02,98.0,98.0
13,Bangladesh,164425491.0,Low,SEAR,6.0,36.95,33.2,22.0,41.3,63.0,63.0,63.0,570.0,40.82,53.9,47.49,60.26,67.16,63.62,90.0,87.0
14,Barbados,256552.0,High,AMR,,47.38,,36.0,,75.0,72.0,79.0,16.0,,,,,,,96.0,97.0
15,Belarus,9587940.0,Middle,EUR,-7.0,49.3,27.95,38.0,2.0,69.0,63.0,75.0,18.0,99.42,99.79,99.59,99.83,99.76,99.79,88.0,90.0
16,Belgium,10697588.0,High,EUR,10.0,43.48,32.97,41.0,,79.0,77.0,82.0,8.0,,,,,,,97.0,97.0
17,Belize,312928.0,Middle,AMR,,34.09,,21.0,,69.0,65.0,74.0,52.0,70.33,70.27,70.3,76.7,76.14,76.42,97.0,97.0
18,Benin,9211741.0,Low,AFR,6.0,38.33,36.48,18.0,30.9,55.0,54.0,55.0,840.0,23.3,47.87,34.66,33.24,59.21,45.31,73.0,87.0
19,Bermuda,,,,,,,,,,,,,,,,,,,,
20,Bhutan,708484.0,Middle,SEAR,-6.0,36.6,,23.0,,64.0,62.0,67.0,440.0,48.7,69.1,59.5,,,,79.0,79.0
21,Bolivia,,,,8.0,43.57,60.05,21.0,23.2,66.0,64.0,67.0,290.0,80.65,93.06,86.72,96.11,98.55,97.32,95.0,94.0
22,Bosnia and Herzegovina,3759633.0,Middle,EUR,,48.1,35.79,38.0,,75.0,72.0,78.0,3.0,94.36,99.03,96.66,99.84,99.75,99.79,,
23,Botswana,1977569.0,Middle,AFR,9.0,41.76,60.51,21.0,,52.0,51.0,52.0,380.0,81.81,80.43,81.19,95.6,92.08,93.96,85.0,83.0
24,Brazil,195423252.0,Middle,AMR,8.0,42.88,56.6,27.0,7.5,72.0,68.0,75.0,110.0,88.81,88.41,88.62,97.9,95.78,96.84,95.0,93.0
25,Brunei Darussalam,407045.0,High,WPR,,34.12,,26.0,,77.0,76.0,79.0,13.0,90.16,95.15,92.67,98.91,98.87,98.89,94.0,94.0
26,Bulgaria,7497282.0,Middle,EUR,9.0,46.0,29.21,41.0,2.0,73.0,69.0,76.0,11.0,97.71,98.74,98.2,98.11,98.31,98.21,92.0,93.0
27,Burkina Faso,16286706.0,Low,AFR,0.0,46.62,39.51,17.0,27.2,47.0,46.0,49.0,700.0,16.62,31.44,23.55,26.48,40.38,32.97,42.0,52.0
28,Burundi,8518862.0,Low,AFR,6.0,51.93,42.39,17.0,,49.0,48.0,50.0,1100.0,52.24,67.31,59.3,70.37,76.78,73.33,73.0,76.0
29,Cambodia,15053112.0,Low,WPR,2.0,51.35,41.71,20.0,66.0,62.0,59.0,65.0,540.0,64.05,84.68,73.61,78.9,87.92,83.38,89.0,91.0
30,Cameroon,19958351.0,Middle,AFR,-4.0,39.92,44.56,19.0,17.1,51.0,50.0,52.0,1000.0,59.8,77.0,67.9,,,,65.0,74.0
31,Canada,33889747.0,High,AMR,10.0,46.36,32.56,39.0,,81.0,78.0,83.0,7.0,,,,,,,100.0,99.0
32,Cape Verde,512582.0,Middle,AFR,,33.83,50.52,20.0,,70.0,66.0,72.0,210.0,75.55,87.76,81.22,96.75,95.75,96.25,87.0,88.0
33,Central African Republic,4505945.0,Low,AFR,-1.0,,61.33,18.0,,48.0,48.0,48.0,980.0,33.5,64.77,48.57,46.87,70.33,58.52,38.0,53.0
34,Chad,11506130.0,Low,AFR,-2.0,46.94,,17.0,,46.0,46.0,47.0,1500.0,12.8,40.83,25.65,23.24,55.69,37.56,49.0,71.0
35,Chile,17134708.0,Middle,AMR,9.0,35.09,54.92,31.0,2.0,78.0,75.0,81.0,16.0,95.64,95.8,95.72,99.18,98.8,98.99,89.0,90.0
36,China,1361763412.0,Middle,WPR,-7.0,44.54,46.9,33.0,9.9,73.0,72.0,75.0,45.0,86.53,95.14,90.92,98.5,99.2,98.86,96.0,100.0
37,Colombia,46300196.0,Middle,AMR,7.0,44.32,56.23,26.0,7.0,74.0,71.0,78.0,130.0,92.91,92.78,92.85,98.37,97.52,97.96,88.0,89.0
38,Comoros,691351.0,Low,AFR,6.0,40.04,,19.0,,65.0,62.0,67.0,400.0,,,,,,,50.0,60.0
39,"Congo, Dem. Rep.",,,,4.0,41.16,,16.0,,47.0,46.0,49.0,1100.0,54.07,80.91,67.17,63.09,77.98,70.42,47.0,60.0
40,"Congo, Rep.",,,,-4.0,40.25,,19.0,,54.0,53.0,55.0,740.0,79.03,90.54,84.68,96.52,98.36,97.44,52.0,58.0
41,Cook Islands,19933.0,Middle,WPR,,,,,,73.0,71.0,75.0,,,,,,,,75.0,73.0
42,Costa Rica,4639827.0,Middle,AMR,10.0,35.14,48.2,26.0,3.3,78.0,76.0,80.0,30.0,95.08,94.65,94.87,98.04,97.2,97.61,88.0,87.0
43,Cote d'Ivoire,,,,0.0,29.26,44.58,19.0,14.8,53.0,50.0,55.0,810.0,38.62,60.84,48.73,52.13,70.83,60.72,49.0,61.0
44,Croatia,4409659.0,High,EUR,9.0,45.0,29.03,41.0,2.0,76.0,72.0,79.0,7.0,97.08,99.32,98.15,99.65,99.64,99.65,90.0,91.0
45,Cuba,11204351.0,Middle,AMR,-7.0,37.43,,36.0,,78.0,76.0,80.0,45.0,99.79,99.81,99.8,99.95,99.96,99.96,97.0,96.0
